0 -44.2236 -44.2236 -44.2236 158.044 -36.5221 27 68 46.552
1 -43.8871 -44.2236 -44.2236 213.832 -35.7521 24 83 48.752
2 -41.3109 -44.2236 -44.2236 157.143 -35.7716 23 74 49.652
3 -43.9952 -44.2236 -44.2236 228.641 -34.8371 34 81 50.952
4 -43.9991 -44.2236 -44.2236 211.746 -21.9477 32 72 47.152
5 -44.0072 -44.2236 -44.2236 186.497 -35.4782 32 75 48.93
6 -43.7724 -44.2236 -44.2236 182.575 -27.8658 33 146 56.852
7 -43.8963 -44.2236 -44.2236 177.418 -36.1138 32 69 49.552
8 -40.9861 -44.2236 -44.2236 178.625 -29.8263 20 94 53.152
9 -43.6621 -44.2236 -44.2236 151.193 -36.4599 21 115 47.52
10 -41.0606 -44.2236 -44.2236 146.516 -36.2976 28 79 51.553
11 -41.7417 -44.2236 -44.2236 150.67 -31.7138 24 98 52.32
12 -43.8483 -44.2236 -44.2236 191.912 -25.6395 23 116 52.352
13 -43.919 -44.2236 -44.2236 164.439 -19.6804 24 99 49.552
14 -44.004 -44.2236 -44.2236 143.583 -33.8774 29 80 49.22
15 -43.0658 -44.2236 -44.2236 159.705 -33.8764 24 65 44.63
16 -43.9913 -44.2236 -44.2236 130.393 -37.8278 29 103 46.252
17 -43.905 -44.2236 -44.2236 78.3803 -36.9724 15 98 462
18 -43.8124 -44.2236 -44.2236 161.302 -24.2559 33 84 50.22
19 -43.9012 -44.2236 -44.2236 96.1472 -34.2683 19 120 46.552
20 -43.8216 -44.2236 -44.2236 82.4305 -37.8926 19 58 37.753
21 -43.7557 -44.2236 -44.2236 73.1348 -30.3595 23 94 42.252
22 -43.9065 -44.2236 -44.2236 21.7857 -39.1744 23 80 38.552
23 -44.2478 -44.2478 -44.2478 18.3403 -37.8381 19 173 41.252
24 -44.0023 -44.0023 -44.2478 232.755 -20.0205 18 133 58.952
25 -41.6107 -44.0023 -44.2478 178.766 -27.6666 27 113 53.92
26 -43.9757 -44.0023 -44.2478 209.176 -27.7312 33 66 48.852
27 -43.824 -44.0023 -44.2478 180.271 -34.4683 31 71 46.93
28 -43.4858 -44.0023 -44.2478 178.223 -24.8513 24 108 54.72
29 -41.6667 -44.0023 -44.2478 197.708 -30.9866 29 91 51.42
30 -44.049 -44.049 -44.2478 157.643 -32.7405 24 84 50.752
31 -43.3512 -44.049 -44.2478 209.842 -30.4112 31 87 52.552
32 -43.4113 -44.049 -44.2478 108.507 -27.3885 21 78 48.853
33 -43.7807 -44.049 -44.2478 150.832 -36.8102 17 71 47.952
34 -44.0158 -44.049 -44.2478 164.086 -25.4551 25 69 43.72
35 -43.7906 -44.049 -44.2478 148.035 -32.9734 24 117 50.52
36 -41.6566 -44.049 -44.2478 158.324 -28.6754 28 86 48.32
37 -44.1295 -44.1295 -44.2478 126.528 -38.4366 23 79 48.353
38 -41.8059 -44.1295 -44.2478 91.9519 -31.3949 21 76 48.32
39 -43.8832 -44.1295 -44.2478 130.525 -30.8839 27 112 49.92
40 -43.598 -44.1295 -44.2478 81.932 -29.4544 29 64 43.12
41 -43.8233 -44.1295 -44.2478 86.2422 -37.9433 20 80 41.92
42 -44.1291 -44.1295 -44.2478 67.3309 -30.5467 17 51 36.13
43 -43.8876 -44.1295 -44.2478 56.3826 -38.5547 19 73 36.552
44 -43.8988 -44.1295 -44.2478 48.7405 -39.355 15 117 41.252
45 -44.0675 -44.1295 -44.2478 -1.90313 -40.616 30 45 34.652
46 -44.1113 -44.1295 -44.2478 47.8196 -38.7404 23 81 42.752
